order_id,order_date,region,product,quantity,unit_price,revenue
ORD1001,6/4/2026,East,Widget B,4,$138.56,554.24
ORD1002,4/2/2026,South,Widget A,1,$116.63,116.63
ORD1003,2026-04-08,East,Widget A,6,142.64,855.84
ORD1004,2026-03-04,North,Gadget X,20,60.25,1205.0
ORD1005,2026-01-13,East,Widget A,12,$119.69,1436.28
ORD1006,2026-02-25,North,Widget A,13,$62.8,816.4
ORD1007,2026-03-12,East,Widget A,20,$130.64,2612.8
ORD1008,2026-04-13, East ,Widget B,11,$170.13,1871.43
ORD1009,2026-01-26,East,Widget A,11,50.39,554.29
ORD1010,2026-06-15,South,Widget A,18,$59.91,1078.38
ORD1011,2026-04-12,South,Widget A,2,173.6,347.2
ORD1012,2026-06-14,West,Gadget X,17,$57.76,981.92
ORD1013,2026-06-24,north,Gadget X,4,65.76,
ORD1014,2026-06-24,north,Widget A,4,175.39,701.56
ORD1015,2026-05-07,South,Widget A,1,123.79,123.79
ORD1016,2026-03-27,South,Widget A,3,26.26,78.78
ORD1017,2026-05-25, East ,Widget A,6,$60.35,362.1
ORD1018,2026-02-18, East ,Gadget X,13,$199.07,2587.91
ORD1019,2026-05-15,South,Widget A,19,$115.24,
ORD1020,2026-06-21,North,Gadget X,3,107.68,323.04
ORD1021,2026-05-05,north,Widget B,16,163.41,2614.56
ORD1022,2026-04-12,West,Widget A,4,$21.51,86.04
ORD1023,2026-01-08,north,Gadget X,6,62.91,377.46
ORD1024,2026-04-26,north,Widget A,1,$194.1,194.1
ORD1025,2026-02-14,South,Widget A,6,$81.99,491.94
ORD1026,2026-04-10, East ,Widget A,16,39.4,630.4
ORD1027,2026-05-24, East ,Widget A,19,$100.58,1911.02
ORD1028,2026-01-17,South,Widget A,8,$86.71,693.68
ORD1029,5/20/2026,North,Widget A,19,$109.32,2077.08
ORD1030,2026-06-11,West,Gadget X,15,$70.06,1050.9
ORD1031,2026-04-20,North,Widget B,17,$60.38,1026.46
ORD1032,2026-02-12,West,Gadget X,20,$196.92,3938.4
ORD1033,2026-06-27, East ,Widget B,9,31.92,287.28
ORD1034,2026-03-10, East ,Gadget X,17,$102.81,1747.77
